"item_id","test_assignment","test_number","test_start_date"
2512.0,1.0,"item_test_1","2013-01-05 00:00:00"
482.0,0.0,"item_test_1","2013-01-05 00:00:00"
2446.0,0.0,"item_test_1","2013-01-05 00:00:00"
1312.0,0.0,"item_test_1","2013-01-05 00:00:00"
3556.0,1.0,"item_test_1","2013-01-05 00:00:00"
131.0,0.0,"item_test_1","2013-01-05 00:00:00"
1178.0,1.0,"item_test_1","2013-01-05 00:00:00"
110.0,0.0,"item_test_1","2013-01-05 00:00:00"
47.0,0.0,"item_test_1","2013-01-05 00:00:00"
1696.0,0.0,"item_test_1","2013-01-05 00:00:00"
3196.0,0.0,"item_test_1","2013-01-05 00:00:00"
1578.0,1.0,"item_test_1","2013-01-05 00:00:00"
0.0,1.0,"item_test_1","2013-01-05 00:00:00"
107.0,0.0,"item_test_1","2013-01-05 00:00:00"
487.0,0.0,"item_test_1","2013-01-05 00:00:00"
1777.0,1.0,"item_test_1","2013-01-05 00:00:00"
1132.0,0.0,"item_test_1","2013-01-05 00:00:00"
3328.0,0.0,"item_test_1","2013-01-05 00:00:00"
3044.0,1.0,"item_test_1","2013-01-05 00:00:00"
246.0,1.0,"item_test_1","2013-01-05 00:00:00"
3480.0,1.0,"item_test_1","2013-01-05 00:00:00"
1975.0,1.0,"item_test_1","2013-01-05 00:00:00"
2722.0,0.0,"item_test_1","2013-01-05 00:00:00"
1602.0,0.0,"item_test_1","2013-01-05 00:00:00"
3141.0,0.0,"item_test_1","2013-01-05 00:00:00"
1411.0,1.0,"item_test_1","2013-01-05 00:00:00"
3439.0,0.0,"item_test_1","2013-01-05 00:00:00"
2134.0,1.0,"item_test_1","2013-01-05 00:00:00"
2389.0,1.0,"item_test_1","2013-01-05 00:00:00"
226.0,0.0,"item_test_1","2013-01-05 00:00:00"
2545.0,0.0,"item_test_1","2013-01-05 00:00:00"
1732.0,1.0,"item_test_1","2013-01-05 00:00:00"
3934.0,0.0,"item_test_1","2013-01-05 00:00:00"
504.0,1.0,"item_test_1","2013-01-05 00:00:00"
23.0,0.0,"item_test_1","2013-01-05 00:00:00"
1730.0,0.0,"item_test_1","2013-01-05 00:00:00"
3290.0,0.0,"item_test_1","2013-01-05 00:00:00"
2498.0,1.0,"item_test_1","2013-01-05 00:00:00"
459.0,0.0,"item_test_1","2013-01-05 00:00:00"
2309.0,0.0,"item_test_1","2013-01-05 00:00:00"
1074.0,0.0,"item_test_1","2013-01-05 00:00:00"
1391.0,1.0,"item_test_1","2013-01-05 00:00:00"
1403.0,1.0,"item_test_1","2013-01-05 00:00:00"
3460.0,0.0,"item_test_1","2013-01-05 00:00:00"
549.0,1.0,"item_test_1","2013-01-05 00:00:00"
1271.0,0.0,"item_test_1","2013-01-05 00:00:00"
2296.0,1.0,"item_test_1","2013-01-05 00:00:00"
862.0,0.0,"item_test_1","2013-01-05 00:00:00"
53.0,1.0,"item_test_1","2013-01-05 00:00:00"
1872.0,1.0,"item_test_1","2013-01-05 00:00:00"
3134.0,0.0,"item_test_1","2013-01-05 00:00:00"
2993.0,0.0,"item_test_1","2013-01-05 00:00:00"
1590.0,1.0,"item_test_1","2013-01-05 00:00:00"
3057.0,1.0,"item_test_1","2013-01-05 00:00:00"
1756.0,1.0,"item_test_1","2013-01-05 00:00:00"
3119.0,0.0,"item_test_1","2013-01-05 00:00:00"
2393.0,0.0,"item_test_1","2013-01-05 00:00:00"
212.0,0.0,"item_test_1","2013-01-05 00:00:00"
735.0,0.0,"item_test_1","2013-01-05 00:00:00"
3544.0,0.0,"item_test_1","2013-01-05 00:00:00"
3990.0,0.0,"item_test_1","2013-01-05 00:00:00"
917.0,0.0,"item_test_1","2013-01-05 00:00:00"
77.0,1.0,"item_test_1","2013-01-05 00:00:00"
2213.0,1.0,"item_test_1","2013-01-05 00:00:00"
2493.0,1.0,"item_test_1","2013-01-05 00:00:00"
3070.0,1.0,"item_test_1","2013-01-05 00:00:00"
1569.0,1.0,"item_test_1","2013-01-05 00:00:00"
1690.0,1.0,"item_test_1","2013-01-05 00:00:00"
3447.0,0.0,"item_test_1","2013-01-05 00:00:00"
33.0,0.0,"item_test_1","2013-01-05 00:00:00"
1838.0,0.0,"item_test_1","2013-01-05 00:00:00"
2152.0,1.0,"item_test_1","2013-01-05 00:00:00"
204.0,0.0,"item_test_1","2013-01-05 00:00:00"
1039.0,0.0,"item_test_1","2013-01-05 00:00:00"
3577.0,1.0,"item_test_1","2013-01-05 00:00:00"
2567.0,1.0,"item_test_1","2013-01-05 00:00:00"
3427.0,1.0,"item_test_1","2013-01-05 00:00:00"
2622.0,0.0,"item_test_1","2013-01-05 00:00:00"
2601.0,0.0,"item_test_1","2013-01-05 00:00:00"
1007.0,1.0,"item_test_1","2013-01-05 00:00:00"
2114.0,1.0,"item_test_1","2013-01-05 00:00:00"
2627.0,0.0,"item_test_1","2013-01-05 00:00:00"
979.0,1.0,"item_test_1","2013-01-05 00:00:00"
2178.0,0.0,"item_test_1","2013-01-05 00:00:00"
864.0,1.0,"item_test_1","2013-01-05 00:00:00"
2153.0,0.0,"item_test_1","2013-01-05 00:00:00"
2121.0,0.0,"item_test_1","2013-01-05 00:00:00"
3904.0,0.0,"item_test_1","2013-01-05 00:00:00"
3984.0,0.0,"item_test_1","2013-01-05 00:00:00"
1648.0,1.0,"item_test_1","2013-01-05 00:00:00"
2479.0,0.0,"item_test_1","2013-01-05 00:00:00"
2531.0,0.0,"item_test_1","2013-01-05 00:00:00"
586.0,1.0,"item_test_1","2013-01-05 00:00:00"
224.0,0.0,"item_test_1","2013-01-05 00:00:00"
2062.0,0.0,"item_test_1","2013-01-05 00:00:00"
3610.0,0.0,"item_test_1","2013-01-05 00:00:00"
1205.0,0.0,"item_test_1","2013-01-05 00:00:00"
1585.0,0.0,"item_test_1","2013-01-05 00:00:00"
1315.0,0.0,"item_test_1","2013-01-05 00:00:00"
1368.0,1.0,"item_test_1","2013-01-05 00:00:00"
703.0,0.0,"item_test_1","2013-01-05 00:00:00"
2207.0,0.0,"item_test_1","2013-01-05 00:00:00"
1979.0,1.0,"item_test_1","2013-01-05 00:00:00"
3668.0,1.0,"item_test_1","2013-01-05 00:00:00"
3276.0,0.0,"item_test_1","2013-01-05 00:00:00"
1814.0,1.0,"item_test_1","2013-01-05 00:00:00"
279.0,1.0,"item_test_1","2013-01-05 00:00:00"
3479.0,0.0,"item_test_1","2013-01-05 00:00:00"
1976.0,0.0,"item_test_1","2013-01-05 00:00:00"
3212.0,0.0,"item_test_1","2013-01-05 00:00:00"
3728.0,0.0,"item_test_1","2013-01-05 00:00:00"
2837.0,0.0,"item_test_1","2013-01-05 00:00:00"
920.0,0.0,"item_test_1","2013-01-05 00:00:00"
478.0,1.0,"item_test_1","2013-01-05 00:00:00"
3928.0,1.0,"item_test_1","2013-01-05 00:00:00"
690.0,1.0,"item_test_1","2013-01-05 00:00:00"
1198.0,0.0,"item_test_1","2013-01-05 00:00:00"
3507.0,1.0,"item_test_1","2013-01-05 00:00:00"
2438.0,0.0,"item_test_1","2013-01-05 00:00:00"
1474.0,1.0,"item_test_1","2013-01-05 00:00:00"
3109.0,0.0,"item_test_1","2013-01-05 00:00:00"
280.0,0.0,"item_test_1","2013-01-05 00:00:00"
518.0,1.0,"item_test_1","2013-01-05 00:00:00"
1866.0,0.0,"item_test_1","2013-01-05 00:00:00"
3442.0,1.0,"item_test_1","2013-01-05 00:00:00"
2344.0,0.0,"item_test_1","2013-01-05 00:00:00"
3720.0,1.0,"item_test_1","2013-01-05 00:00:00"
67.0,0.0,"item_test_1","2013-01-05 00:00:00"
1633.0,0.0,"item_test_1","2013-01-05 00:00:00"
2623.0,0.0,"item_test_1","2013-01-05 00:00:00"
1144.0,1.0,"item_test_1","2013-01-05 00:00:00"
3842.0,0.0,"item_test_1","2013-01-05 00:00:00"
3615.0,1.0,"item_test_1","2013-01-05 00:00:00"
1606.0,0.0,"item_test_1","2013-01-05 00:00:00"
944.0,0.0,"item_test_1","2013-01-05 00:00:00"
1137.0,1.0,"item_test_1","2013-01-05 00:00:00"
230.0,0.0,"item_test_1","2013-01-05 00:00:00"
1055.0,0.0,"item_test_1","2013-01-05 00:00:00"
3746.0,1.0,"item_test_1","2013-01-05 00:00:00"
2432.0,1.0,"item_test_1","2013-01-05 00:00:00"
3449.0,1.0,"item_test_1","2013-01-05 00:00:00"
1903.0,1.0,"item_test_1","2013-01-05 00:00:00"
594.0,1.0,"item_test_1","2013-01-05 00:00:00"
3808.0,0.0,"item_test_1","2013-01-05 00:00:00"
3700.0,0.0,"item_test_1","2013-01-05 00:00:00"
3792.0,0.0,"item_test_1","2013-01-05 00:00:00"
3014.0,1.0,"item_test_1","2013-01-05 00:00:00"
502.0,1.0,"item_test_1","2013-01-05 00:00:00"
538.0,0.0,"item_test_1","2013-01-05 00:00:00"
3876.0,0.0,"item_test_1","2013-01-05 00:00:00"
557.0,0.0,"item_test_1","2013-01-05 00:00:00"
1485.0,1.0,"item_test_1","2013-01-05 00:00:00"
392.0,0.0,"item_test_1","2013-01-05 00:00:00"
2754.0,0.0,"item_test_1","2013-01-05 00:00:00"
3987.0,1.0,"item_test_1","2013-01-05 00:00:00"
3074.0,0.0,"item_test_1","2013-01-05 00:00:00"
3101.0,0.0,"item_test_1","2013-01-05 00:00:00"
2943.0,1.0,"item_test_1","2013-01-05 00:00:00"
1360.0,0.0,"item_test_1","2013-01-05 00:00:00"
2035.0,0.0,"item_test_1","2013-01-05 00:00:00"
1273.0,0.0,"item_test_1","2013-01-05 00:00:00"
1704.0,1.0,"item_test_1","2013-01-05 00:00:00"
1936.0,1.0,"item_test_1","2013-01-05 00:00:00"
759.0,1.0,"item_test_1","2013-01-05 00:00:00"
3639.0,0.0,"item_test_1","2013-01-05 00:00:00"
1384.0,0.0,"item_test_1","2013-01-05 00:00:00"
3260.0,0.0,"item_test_1","2013-01-05 00:00:00"
1250.0,1.0,"item_test_1","2013-01-05 00:00:00"
1364.0,1.0,"item_test_1","2013-01-05 00:00:00"
2255.0,0.0,"item_test_1","2013-01-05 00:00:00"
1067.0,1.0,"item_test_1","2013-01-05 00:00:00"
1114.0,0.0,"item_test_1","2013-01-05 00:00:00"
3161.0,0.0,"item_test_1","2013-01-05 00:00:00"
3672.0,0.0,"item_test_1","2013-01-05 00:00:00"
3675.0,0.0,"item_test_1","2013-01-05 00:00:00"
2912.0,1.0,"item_test_1","2013-01-05 00:00:00"
2343.0,1.0,"item_test_1","2013-01-05 00:00:00"
3192.0,1.0,"item_test_1","2013-01-05 00:00:00"
827.0,1.0,"item_test_1","2013-01-05 00:00:00"
1545.0,1.0,"item_test_1","2013-01-05 00:00:00"
3033.0,1.0,"item_test_1","2013-01-05 00:00:00"
3618.0,0.0,"item_test_1","2013-01-05 00:00:00"
1536.0,1.0,"item_test_1","2013-01-05 00:00:00"
2422.0,0.0,"item_test_1","2013-01-05 00:00:00"
3630.0,0.0,"item_test_1","2013-01-05 00:00:00"
2903.0,0.0,"item_test_1","2013-01-05 00:00:00"
940.0,1.0,"item_test_1","2013-01-05 00:00:00"
2326.0,0.0,"item_test_1","2013-01-05 00:00:00"
2268.0,1.0,"item_test_1","2013-01-05 00:00:00"
3629.0,0.0,"item_test_1","2013-01-05 00:00:00"
630.0,0.0,"item_test_1","2013-01-05 00:00:00"
2013.0,0.0,"item_test_1","2013-01-05 00:00:00"
3190.0,0.0,"item_test_1","2013-01-05 00:00:00"
3388.0,0.0,"item_test_1","2013-01-05 00:00:00"
3209.0,1.0,"item_test_1","2013-01-05 00:00:00"
3741.0,0.0,"item_test_1","2013-01-05 00:00:00"
1665.0,1.0,"item_test_1","2013-01-05 00:00:00"
881.0,0.0,"item_test_1","2013-01-05 00:00:00"
2814.0,1.0,"item_test_1","2013-01-05 00:00:00"
