,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh_shooting,SoT,SoT%,G/Sh,G/SoT,Dist,FK_shooting,PK,PKatt_shooting,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt_keeper,PKA,PKsv,PKm,Cmp_keeper,Att_keeper,Cmp%_keeper,Att_keeper,Thr,Launch%,AvgLen,Att_keeper,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Cmp_passing,Att_passing,Cmp%_passing,TotDist_passing,PrgDist_passing,Cmp_passing,Att_passing,Cmp%_passing,Cmp_passing,Att_passing,Cmp%_passing,Cmp_passing,Att_passing,Cmp%_passing,Ast,xA,KP,1/3_passing,PPA,CrsPA,Prog_passing,Att_passing_types,Live_passing_types,Dead,FK_passing_types,TB,Press_passing_types,Sw,Crs_passing_types,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp_passing_types,Off_passing_types,Out,Int_passing_types,Blocks_passing_types,SCA,PassLive,PassDead,Drib,Sh_gca,Fld_gca,Def,GCA,PassLive,PassDead,Drib,Sh_gca,Fld_gca,Def,Tkl,TklW_defense,Def 3rd_defense,Mid 3rd_defense,Att 3rd_defense,Tkl,Att_defense,Tkl%,Past,Press_defense,Succ_defense,%,Def 3rd_defense,Mid 3rd_defense,Att 3rd_defense,Blocks_defense,Sh_defense,ShSv,Pass,Int_defense,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd_possession,Mid 3rd_possession,Att 3rd_possession,Att Pen,Live_possession,Succ_possession,Att_possession,Succ%,#Pl,Megs,Carries,TotDist_possession,PrgDist_possession,Prog_possession,1/3_possession,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_possession,CrdY,CrdR,2CrdY,Fls,Fld_misc,Off_misc,Crs_misc,Int_misc,TklW_misc,PKwon,PKcon,OG,Recov,Won,Lost,Won%,team
0,2021-08-07,17:15,Community Shield,FA Community Shield,Sat,Neutral,L,0,1,Leicester City,0.0,12.0,3.0,25.0,0.0,0.0,,,0.0,0.0,,,,,,Match Report,4.0,4.0,100.0,0.0,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,3.0,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,8.0,6.0,3.0,12.0,3.0,7.0,,,0.0,,,,,ManchesterCity
1,2021-08-15,16:30,Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,0.0,18.0,4.0,22.2,0.0,0.0,16.9,1.0,0.0,0.0,1.9,1.9,0.11,-1.9,-1.9,Match Report,2.0,1.0,50.0,0.0,0.6,-0.4,0.0,0.0,0.0,0.0,4.0,6.0,66.7,16.0,6.0,31.3,34.9,6.0,16.7,35.2,3.0,0.0,0.0,2.0,21.4,476.0,569.0,83.7,8774.0,2691.0,201.0,228.0,88.2,213.0,235.0,90.6,55.0,86.0,64.0,0.0,1.4,13.0,39.0,14.0,2.0,45.0,569.0,520.0,49.0,13.0,0.0,48.0,18.0,19.0,11.0,2.0,3.0,2.0,415.0,72.0,82.0,226.0,286.0,22.0,17.0,6.0,476.0,0.0,3.0,22.0,14.0,31.0,24.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,6.0,10.0,2.0,4.0,15.0,26.7,11.0,58.0,22.0,37.9,16.0,29.0,13.0,12.0,6.0,1.0,6.0,6.0,,17.0,1.0,64.0,676.0,38.0,148.0,360.0,227.0,43.0,629.0,12.0,19.0,63.2,12.0,2.0,491.0,2689.0,1702.0,79.0,23.0,12.0,10.0,15.0,542.0,476.0,87.8,45.0,1.0,0.0,0.0,12.0,12.0,1.0,19.0,6.0,10.0,0.0,0.0,0.0,90.0,19.0,13.0,59.4,ManchesterCity
2,2021-08-21,15:00,Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,4.0,16.0,4.0,25.0,0.25,1.0,17.3,1.0,0.0,0.0,2.7,2.7,0.17,1.3,1.3,Match Report,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,10.0,3.0,30.0,27.6,2.0,0.0,29.5,4.0,0.0,0.0,2.0,17.6,695.0,762.0,91.2,13399.0,3311.0,281.0,295.0,95.3,307.0,327.0,93.9,99.0,120.0,82.5,3.0,1.5,8.0,81.0,17.0,0.0,57.0,762.0,724.0,38.0,9.0,1.0,54.0,20.0,19.0,6.0,4.0,0.0,1.0,610.0,65.0,87.0,221.0,491.0,16.0,20.0,6.0,695.0,1.0,7.0,12.0,13.0,21.0,15.0,2.0,0.0,1.0,1.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,2.0,8.0,5.0,10.0,19.0,52.6,9.0,115.0,32.0,27.8,4.0,52.0,59.0,4.0,0.0,0.0,4.0,10.0,,4.0,0.0,67.0,850.0,26.0,80.0,485.0,328.0,61.0,813.0,9.0,15.0,60.0,11.0,0.0,674.0,3425.0,1872.0,102.0,14.0,19.0,9.0,12.0,737.0,695.0,94.3,57.0,1.0,0.0,0.0,14.0,6.0,2.0,19.0,10.0,10.0,0.0,0.0,0.0,71.0,9.0,1.0,90.0,ManchesterCity
3,2021-08-28,12:30,Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,5.0,25.0,10.0,40.0,0.2,0.5,14.3,0.0,0.0,0.0,3.8,3.8,0.15,1.2,1.2,Match Report,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,33.0,2.0,18.2,27.2,4.0,25.0,38.3,2.0,0.0,0.0,1.0,16.5,717.0,808.0,88.7,12559.0,3350.0,330.0,348.0,94.8,305.0,336.0,90.8,75.0,108.0,69.4,4.0,3.2,21.0,42.0,21.0,7.0,47.0,808.0,756.0,52.0,10.0,3.0,65.0,10.0,20.0,14.0,4.0,1.0,1.0,672.0,52.0,84.0,251.0,507.0,20.0,23.0,2.0,717.0,2.0,11.0,15.0,12.0,41.0,39.0,1.0,1.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,2.0,7.0,2.0,5.0,10.0,50.0,5.0,86.0,34.0,39.5,16.0,44.0,26.0,5.0,1.0,0.0,4.0,11.0,,7.0,1.0,80.0,879.0,43.0,139.0,453.0,320.0,52.0,829.0,8.0,14.0,57.1,8.0,1.0,677.0,2846.0,1795.0,98.0,18.0,13.0,7.0,3.0,792.0,717.0,90.5,47.0,1.0,0.0,0.0,6.0,7.0,1.0,20.0,11.0,8.0,0.0,0.0,0.0,71.0,9.0,10.0,47.4,ManchesterCity
4,2021-09-11,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,1.0,25.0,8.0,32.0,0.04,0.13,14.0,0.0,0.0,0.0,2.9,2.9,0.12,-1.9,-1.9,Match Report,1.0,1.0,100.0,1.0,0.3,0.3,0.0,0.0,0.0,0.0,2.0,4.0,50.0,18.0,7.0,22.2,31.2,6.0,0.0,25.7,6.0,0.0,0.0,1.0,14.0,525.0,603.0,87.1,10327.0,2917.0,185.0,204.0,90.7,270.0,289.0,93.4,69.0,94.0,73.4,0.0,2.0,17.0,51.0,18.0,4.0,58.0,603.0,562.0,41.0,6.0,3.0,108.0,16.0,19.0,8.0,5.0,2.0,0.0,461.0,63.0,79.0,171.0,380.0,20.0,20.0,7.0,525.0,4.0,6.0,10.0,15.0,38.0,30.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,7.0,6.0,4.0,3.0,2.0,7.0,28.6,5.0,114.0,27.0,23.7,27.0,50.0,37.0,9.0,2.0,0.0,7.0,12.0,,9.0,0.0,61.0,707.0,38.0,157.0,371.0,241.0,51.0,666.0,7.0,16.0,43.8,9.0,1.0,480.0,2887.0,1712.0,77.0,18.0,11.0,9.0,11.0,572.0,525.0,91.8,58.0,2.0,0.0,0.0,15.0,6.0,4.0,19.0,12.0,7.0,0.0,0.0,0.0,79.0,8.0,13.0,38.1,ManchesterCity
5,2021-09-15,20:00,Champions Lg,Group stage,Wed,Home,W,6,3,de RB Leipzig,5.0,16.0,8.0,50.0,0.25,0.5,15.7,0.0,1.0,1.0,2.1,1.4,0.09,2.9,2.6,Match Report,3.0,0.0,0.0,0.0,0.9,-2.1,0.0,0.0,0.0,0.0,3.0,8.0,37.5,32.0,1.0,18.8,29.2,8.0,25.0,25.6,3.0,0.0,0.0,0.0,11.5,413.0,493.0,83.8,8488.0,2519.0,151.0,170.0,88.8,193.0,213.0,90.6,65.0,94.0,69.1,2.0,0.8,12.0,26.0,5.0,0.0,32.0,493.0,442.0,51.0,19.0,2.0,121.0,17.0,7.0,6.0,2.0,2.0,0.0,367.0,50.0,76.0,194.0,263.0,12.0,14.0,5.0,413.0,5.0,6.0,14.0,11.0,25.0,18.0,1.0,1.0,3.0,0.0,2.0,7.0,3.0,1.0,0.0,2.0,0.0,1.0,17.0,8.0,5.0,10.0,2.0,10.0,14.0,71.4,4.0,134.0,38.0,28.4,32.0,70.0,32.0,15.0,4.0,0.0,11.0,15.0,,12.0,0.0,51.0,603.0,76.0,226.0,307.0,118.0,26.0,555.0,7.0,19.0,36.8,7.0,1.0,361.0,2018.0,1224.0,40.0,7.0,10.0,10.0,5.0,471.0,413.0,87.7,32.0,1.0,0.0,0.0,11.0,16.0,6.0,7.0,15.0,8.0,0.0,0.0,0.0,71.0,11.0,14.0,44.0,ManchesterCity
6,2021-09-18,15:00,Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,0.0,16.0,1.0,6.3,0.0,0.0,15.7,1.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1,Match Report,2.0,2.0,100.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,4.0,4.0,100.0,34.0,8.0,8.8,21.6,5.0,20.0,25.0,5.0,0.0,0.0,1.0,18.2,512.0,600.0,85.3,9959.0,3179.0,201.0,224.0,89.7,241.0,274.0,88.0,65.0,89.0,73.0,0.0,0.9,13.0,27.0,9.0,2.0,39.0,600.0,554.0,46.0,11.0,0.0,56.0,13.0,19.0,8.0,3.0,3.0,0.0,441.0,89.0,70.0,178.0,357.0,14.0,21.0,15.0,512.0,3.0,5.0,19.0,12.0,26.0,21.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,11.0,6.0,0.0,4.0,13.0,30.8,9.0,121.0,31.0,25.6,33.0,62.0,26.0,14.0,6.0,0.0,8.0,14.0,,22.0,0.0,63.0,720.0,74.0,226.0,382.0,163.0,31.0,673.0,12.0,20.0,60.0,12.0,1.0,530.0,2390.0,1378.0,49.0,12.0,8.0,18.0,10.0,575.0,512.0,89.0,39.0,0.0,0.0,0.0,10.0,17.0,4.0,19.0,14.0,10.0,0.0,0.0,0.0,77.0,25.0,12.0,67.6,ManchesterCity
7,2021-09-21,19:45,EFL Cup,Third round,Tue,Home,W,6,1,Wycombe,6.0,26.0,14.0,53.8,0.23,0.43,,,0.0,0.0,,,,,,Match Report,4.0,3.0,75.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,9.0,11.0,2.0,19.0,3.0,2.0,,,0.0,,,,,ManchesterCity
8,2021-09-25,12:30,Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.0,15.0,3.0,20.0,0.07,0.33,16.5,0.0,0.0,0.0,1.7,1.7,0.12,-0.7,-0.7,Match Report,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,40.0,28.0,4.0,28.6,37.2,3.0,66.7,58.0,9.0,1.0,11.1,1.0,16.4,544.0,635.0,85.7,10872.0,2938.0,191.0,207.0,92.3,270.0,292.0,92.5,79.0,118.0,66.9,1.0,1.1,12.0,43.0,7.0,0.0,34.0,635.0,591.0,44.0,15.0,1.0,101.0,18.0,15.0,13.0,8.0,1.0,1.0,505.0,48.0,82.0,209.0,386.0,12.0,12.0,6.0,544.0,2.0,11.0,11.0,15.0,26.0,17.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,15.0,5.0,8.0,6.0,5.0,16.0,31.3,11.0,163.0,52.0,31.9,26.0,68.0,69.0,15.0,5.0,0.0,10.0,10.0,,24.0,0.0,60.0,751.0,69.0,181.0,397.0,221.0,37.0,708.0,11.0,18.0,61.1,12.0,2.0,573.0,2819.0,1620.0,84.0,20.0,12.0,10.0,9.0,621.0,544.0,87.6,34.0,2.0,0.0,0.0,13.0,17.0,4.0,15.0,10.0,15.0,0.0,0.0,0.0,75.0,13.0,17.0,43.3,ManchesterCity
9,2021-09-28,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,fr Paris S-G,0.0,18.0,7.0,38.9,0.0,0.0,14.7,2.0,0.0,0.0,1.9,1.9,0.15,-1.9,-1.9,Match Report,3.0,1.0,33.3,0.0,1.4,-0.6,0.0,0.0,0.0,0.0,1.0,1.0,100.0,10.0,1.0,10.0,21.4,2.0,0.0,21.0,1.0,0.0,0.0,0.0,,507.0,589.0,86.1,9812.0,2736.0,212.0,231.0,91.8,219.0,241.0,90.9,70.0,96.0,72.9,0.0,1.0,14.0,60.0,16.0,3.0,58.0,589.0,540.0,49.0,9.0,0.0,73.0,29.0,24.0,10.0,7.0,0.0,0.0,444.0,75.0,70.0,203.0,348.0,9.0,25.0,1.0,507.0,3.0,9.0,18.0,10.0,33.0,27.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.0,9.0,11.0,3.0,10.0,27.0,37.0,17.0,150.0,29.0,19.3,33.0,66.0,51.0,9.0,0.0,0.0,9.0,21.0,,3.0,0.0,54.0,684.0,33.0,137.0,275.0,317.0,47.0,637.0,11.0,16.0,68.8,11.0,0.0,503.0,2930.0,1865.0,87.0,20.0,15.0,5.0,16.0,562.0,507.0,90.2,58.0,2.0,0.0,0.0,12.0,8.0,3.0,24.0,21.0,14.0,0.0,0.0,0.0,60.0,5.0,5.0,50.0,ManchesterCity
